OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst
1065,B2094753DA6EA2FE419F,军械小区,储煤路泰华街交口,114.466166000000001,38.070393000000003,311,住宅区,0,0,小区
1066,B2094753DA6EA2FE429D,保险公司宿舍,友谊南大街32号,114.449601000000001,38.034250000000000,311,住宅区,0,0,小区
1067,B2094753DA6EA2FE439C,华平嘉园,和平东路138号,114.508052000000006,38.050271000000002,311,住宅区,0,0,小区
1068,B2094753DA6EA2FE459D,迎宾苑,体育大街与槐北路交口,114.531806000000003,38.031478999999997,311,住宅区,0,0,小区
1069,B2094753DA6EA2FE469A,电大街78号院,电大街78号院,114.457755000000006,38.067520999999999,311,住宅区,0,0,小区
1070,B2094753DA6EA2FE4699,中华家园,中华南大街与新石中路交口,114.478611999999998,38.012850999999998,311,住宅区,0,0,小区
1071,B2094753DA6EA2FF4093,天河观月,青园街与东岗路交口,114.520861999999994,38.010787999999998,311,住宅区,0,0,小区
1072,B2094753DA6EA2FF4298,如意商务公寓,中山路166号,114.506570999999994,38.043030000000002,311,住宅区,1,1,小区
1073,B2094753DA6EA2FF4292,御景江山,光华路7号,114.502194000000003,38.060662000000001,311,住宅区,0,0,小区
1074,B2094753DA6EA2FF439C,长征鞋厂宿舍,工农路与师范街交叉口,114.466660000000005,38.031528999999999,311,住宅区,0,0,小区
1075,B2094753DA6EA2FF4492,香榭里二期香情苑,东风路与休门街交口往西200米路南,114.504790000000000,38.024464000000002,311,住宅区,0,0,小区
1076,B2094753DA6EA2FF469A,广安苑,广安街与谈南路交叉口,114.522761000000003,38.047753000000000,311,住宅区,1,0,小区
1077,B2094753DA6EA2FF4699,lcgi,桥西区槐安路与红旗大街交叉口西南角,114.459665000000001,38.023636000000003,311,住宅区,0,0,小区
1078,B2094753DA6EA2FF4693,卓泰博茗苑,建华大街与南二环口南侧,114.548264000000003,37.999139000000000,311,住宅区,0,0,小区
1079,B2094753DA6EA2FF499C,颐和新新家园,距友谊大街两分钟路程,114.451285999999996,38.031368999999998,311,住宅区,0,0,小区
1080,B2094753DA6EA2FF4993,万信缘溪堂,新华北城路35号,114.458139000000003,38.074058000000001,311,住宅区,0,0,小区
1081,B2094753DA6EA2F8409F,水庭世家,水上公园附近,114.457561999999996,38.074598999999999,311,住宅区,0,0,小区
1082,B2094753DA6EA2F8419E,平安万和园,东平路8号,114.497538000000006,38.017254999999999,311,住宅区,5,2,小区
1083,B2094753DA6EA2F8429C,省供销社宿舍,长青路40号,114.510520000000000,38.025883999999998,311,住宅区,0,0,小区
1084,B2094753DA6EA2F8439C,喜竹园,槐安西路与红旗大街交口,114.459503999999995,38.025638999999998,311,住宅区,0,0,小区
1085,B2094753DA6EA2F84392,品汇商务公寓,中山西路81号,114.486604999999997,38.044609999999999,311,住宅区,0,0,小区
1086,B2094753DA6EA2F8449F,东简良新村,和平西路与开泰街交叉口,114.429430999999994,38.062283999999998,311,住宅区,0,0,小区
1087,B2094753DA6EA2F8469E,石药宿舍,中山路与长兴街交叉口,114.469750000000005,38.032865000000001,311,住宅区,0,0,小区
1088,B2094753DA6EA2FB4699,庄伙小区,胜利北街与北二环交叉口,114.495671000000002,38.053227999999997,311,住宅区,0,0,小区
1089,B2094753DA6EA2FB4799,棉七宿舍,平安南大街与裕华西路交叉口,114.495671000000002,38.035814000000002,311,住宅区,1,0,小区
1090,B2094753DA6EA2FB489E,医药外贸宿舍,电大街28中对面,114.459621999999996,38.068179999999998,311,住宅区,0,0,小区
